NOME_LOGRADOURO,COORDENADAS,weather_code,wind_speed_10m,precipitation,sensacao_termica,chuva_acumulada_3h,rajada_maxima_3h,rótulo
Rua Herbene,,4,23.3,19.26,28.6,55.55,29.3,Alto
Rua Léa Pompeu,,1,18.3,0.05,19.4,0.28,24.6,Baixo
Av. Rogaciano Leite (ciclofaixa),,3,9.0,2.81,20.9,9.06,12.1,Médio
Av. Gen. Osório de Paiva,,3,0.3,2.0,25.3,6.39,0.5,Médio
Perimetral (N/S),,3,10.6,3.22,19.7,8.44,15.0,Médio
Perimetral (S/N),,3,12.3,1.78,34.1,6.17,16.3,Médio
Rua Nereu Ramos,,4,28.9,16.53,24.4,49.03,36.5,Alto
Av. Sen. Virgílio Távora,,2,11.2,0.0,21.0,0.0,15.7,Baixo
Rua Carlos Juaçaba,,5,22.6,6.47,21.6,18.83,30.0,Alto
Rua José Meneleu,,0,1.4,0.0,22.3,0.06,1.8,Baixo
Rua Coronel Solon/Saldanha Marinho,,3,1.9,1.62,23.7,3.68,2.8,Médio
Rua Pe. Miguelino/Pe. Matos Serra,,1,7.0,0.1,15.2,0.27,9.9,Baixo
Praça Tamandaré,,3,16.7,3.12,31.8,9.69,23.5,Médio
Rua Joaquim Nabuco,,1,2.7,0.0,24.7,0.89,3.8,Baixo
Rua Osvaldo Cruz (sul),,5,33.4,18.84,26.8,56.65,45.4,Alto
Rua Osvaldo Cruz (norte),,5,25.8,20.0,32.1,58.92,37.3,Alto
Rua Júlio Gaspar,,5,28.6,19.91,19.7,59.85,38.6,Alto
Rua Castro e Silva,,1,8.8,0.28,21.4,0.0,10.7,Baixo
Rua Antônio Bandeira,,3,16.1,1.2,29.5,2.7,21.3,Médio
Rua Casemiro de Abreu,,5,36.2,5.96,25.8,16.8,48.9,Alto
Rua Dr. Manoel Teófilo,,4,32.0,16.46,27.4,47.85,45.3,Alto
Av. Santos Dumont (trecho papicu 1),,1,4.0,0.0,23.5,0.0,5.0,Baixo
Rua Rev. Bolivar Pinto Bandeira,,1,6.0,0.0,25.7,0.9,7.5,Baixo
Av. Oliveira Paiva,,3,3.1,1.83,29.6,7.31,3.9,Médio
Rua César Fonseca,,1,3.5,0.36,32.3,0.63,4.5,Baixo
Rua Urucutuba,,1,5.3,0.06,14.9,1.05,7.5,Baixo
Rua São Francisco,,5,29.5,13.2,30.1,39.3,37.6,Alto
Rua Sabino Feijão,,3,1.8,2.5,36.2,6.19,2.5,Alto
Av. Duque de Caxias,,5,42.5,15.97,30.0,48.47,57.3,Alto
Av. Padre Ibiapina,,5,35.2,19.27,24.8,58.0,48.3,Alto
Rua Jacinto Matos,,3,2.8,1.42,23.0,5.72,4.1,Médio
Rua Eng. Marcus Maurício,,0,9.2,0.11,26.5,0.0,12.1,Baixo
Av. José Jatahy,,5,28.3,15.84,22.0,49.74,40.4,Alto
Rua Cel. Manuel Jesuíno,,4,43.3,17.81,26.7,54.72,57.5,Alto
Av. Santos Dumont (trecho papicu 3),,4,20.2,17.97,26.4,53.9,26.4,Alto
Av. dos Jangadeiros,,1,4.8,0.07,29.5,0.0,7.1,Baixo
Av. Santos Dumont (alça),,4,29.1,17.01,22.2,50.46,36.6,Alto
